COD_ENCUESTADO,Nombre Campus,NIVEL ACTUAL,Clave de carrera,Ciclo,COMENTARIO,IND_GEA,IND_DELEGADO,CANT_CURSOS_MATRICU_SIN_INGLES,UOD_depostista_ind_deportista,NPS
13044,1,AC,14,1," en informarnos acerca de cómo se debe utilizar el aula virtual, o informaros más acerca de cómo se trabaja en la universidad. Con lo demás es muy buena universidad.",,,5,,3
15635,3,AC,39,6, para que quieres saber eso jaja saludos,,,6,,3
22586,4,AC,5,3," Disponibilidad de salones al momento de la matricula, colapso del sistema al rendir las evaluaciones virtuales, falta de cafeterias donde se pueda almorzar.",,,5,,2
10420,1,AC,34,3, Requisitos para nuevos cursos y malla curricular,,,5,,2
14466,2,AC,32,1, muy pequeño,,,6,,2
1779,3,AC,7,2," Es muy común perder el TIU, no debería ser tan caro sacar una copia. Debería haber más mesas o otro comedor.",,,5,,3
8581,4,AC,25,3, la enseñanza,,,5,,4
32734,2,FC,104,6," Peronalizar la atención, nunca nos dieron una bienvenida y cuando queremos conversar con alguna autoridad que tenga una capacidad de discreción, no la encontramos",,Delegado,5,,3
23420,1,AC,35,2, La pensión sube muy seguido,,,5,,3
25107,4,AC,3,2, En la universidad de san Isidro no hay mucho espacio para estudiar,,,6,,2
31055,4,FC,101,2, La enseñanza,,,4,,4
30163,3,FC,110,2, Atención más personalizada,,,2,,3
1549,3,AC,6,5, Soy buen fan de mí universidad,,,7,,4
132,4,AC,5,1, Metodología de enseñanza y estudio,,Delegado,5,,4
11076,3,AC,34,1, El método de enseñanza,,,6,,4
28957,2,FC,101,8, Los horarios las sedes cercanas y el prestigio,,,3,,4
26865,1,FC,104,6, No respetan las sede. Asimismo. A la carrera de contabilidad le dejan de lado. Por los pocos alumnos que somos. Y por que no hacen bien los horarios ya que presentan varios cruces,,,2,,2
20734,1,AC,5,2, El problema es que en cada ciclo suben la pensión.,,,4,,2
2197,1,AC,28,1, eliminar dpi,,,3,,3
21968,4,AC,26,6," Tiene una buena infraestructura, convenios y es exigente.",,Delegado,6,,4
20475,3,AC,7,1, Porque si,,,4,,1
31818,3,FC,105,2, Muy desorden con el silabus de algunos cursos,,,5,,2
31642,3,FC,105,10, Mejorar los conceptos a desarrollar en algunos cursos,,,2,,3
22003,4,AC,31,9, Grandes oportunidades,,,5,,4
